id;titulo;autores;ano;veiculo;tipo_veiculo;doi;base_origem;fase;decisao;criterio;generativo;observacao
SOL01;BRITO;Freitas e Silva;2026;REIC;periodico;10.5753/reic.2026.6760;SBC/SOL;texto_completo;incluido;CI1-CI5;sim;ChatGPT reescreve textos jurídicos em linguagem simples (dado aberto do STJ). Transparência institucional-judiciária, não OGD stricto sensu (tensão de validade de construto).
SOL02;Public Accounts (TCE/PE);Silva et al.;2024;Workshop e-Gov;workshop;;SBC/SOL;texto_completo;incluido;CI1-CI5;sim;GenAI simplifica documentos oficiais de contas públicas (TCE/PE). AQ4 fraca (sem avaliação formal).
SOL03;Editais TI;Silva et al.;2024;KDMILE;simposio;;SBC/SOL;texto_completo;excluido;CE1;sim;Reclassificado em full-text: B2G (sumarização de editais de compras governamentais para fornecedores), não mediação cidadã sobre OGD.
SOL04;Sertões dos Crateús;França et al.;2025;WebMedia;conferencia;;SBC/SOL;texto_completo;excluido;CE1;sim;Reclassificado em full-text: inspeção técnica de acessibilidade WCAG via ChatGPT-4o (auditoria de portais municipais), não mediação cidadã sobre OGD.
SOL05;Editorial WER-IAEdu;Jaques et al.;2025;CBIE (Anais Estendidos);anais_estendidos;;SBC/SOL;texto_completo;excluido;CE3+CE2+CE1;nao;"Editorial. Excluído CE3 (editorial) + CE2 (secundário) + CE1 (educação). Recebido 2x (dois IDs, conteúdo idêntico) — conta 1 registro; duplicata interna SOL."
SOL06;Alocação Inteligente;Emanuelly et al.;;SBSI;simposio;;SBC/SOL;texto_completo;excluido;CE1;sim;"RH/projetos de software; governance != government (domínio falha). Generativo sim, mas domínio falha."
SOL07;Modelo GUIA;Oliveira e Teixeira;2026;EduComp;simposio;;SBC/SOL;texto_completo;excluido;CE1;nao;IA generativa usada de forma instrumental (validação do framework), não como intervenção desenvolvida. Excluído CE1 (educação).
SOL08;MICA chatbot;Sampaio et al.;;;;;SBC/SOL;texto_completo;excluido;CE1;sim;Educação/serviço interno (domínio falha). Generativo sim, mas domínio falha.
SOL09;Tax Law Reasoning;Presa et al.;2024;BRACIS;conferencia;;SBC/SOL;texto_completo;excluido;CI5;sim;"Texto completo inacessível: paywall Springer/LNAI, não recuperável via SOL/CAPES/Scholar/contato. Borda de mérito (raciocínio jurídico p/ entidades legais; possível CE1 se acessível)."
R001;A Fine-Tuned GPT-4-Based Question Answering System for E-Government Services Using a Custom-Built Dataset;Syahidi, Aulia Akhrian and Kiyokawa, Kiyoshi and Nuchitprasitchai, Siranee;2025;IEEE Symposium on Computers and Informatics, ISCI;conferencia;10.1109/ISCI65687.2025.11166787;Rayyan (Scopus/WoS/IEEE/ACM — distribuicao por base [A CONFIRMAR]);texto_completo;nao_recuperado;CI5 (texto completo inacessível);sim;NÃO RECUPERADO — IEEE, sem acesso full. Reports-not-retrieved no PRISMA 2020 (não é exclusão por critério de conteúdo). Handoff #10. Cluster: Outros. Vertente: (a) Engineering pipeline. Ana incluiu apesar de PDF burocrático
